"episodeSeqNum","castID","role","notes"
"206","2",NULL,NULL
"207","1",NULL,NULL
"207","2",NULL,NULL
"209","1",NULL,NULL
"209","2",NULL,NULL
"209","3",NULL,NULL
"209","14","guest",NULL
"210","1",NULL,NULL
"210","2",NULL,NULL
"212","1",NULL,NULL
"212","2",NULL,NULL
"212","3",NULL,NULL
"212","10","guest",NULL
"213","1",NULL,NULL
"213","2",NULL,NULL
"213","3",NULL,NULL
"215","1",NULL,NULL
"215","2",NULL,NULL
"215","3",NULL,NULL
"216","1",NULL,NULL
"216","2",NULL,NULL
"216","3",NULL,NULL
"218","1",NULL,NULL
"218","2",NULL,NULL
"218","3",NULL,NULL
"219","1",NULL,NULL
"219","2",NULL,NULL
"219","3",NULL,NULL
"220","14","guest",NULL
"221","1",NULL,NULL
"221","2",NULL,NULL
"221","3",NULL,NULL
"221","48","guest",NULL
"222","1",NULL,NULL
"222","2",NULL,NULL
"222","3",NULL,NULL
"224","1",NULL,NULL
"224","2",NULL,NULL
"224","3",NULL,NULL
"225","1",NULL,NULL
"225","2",NULL,NULL
"225","3",NULL,NULL
"225","76","guest",NULL
"227","1",NULL,NULL
"227","2",NULL,NULL
"227","3",NULL,NULL
"227","8","guest",NULL
"228","2",NULL,NULL
"228","3",NULL,NULL
"228","8","guest",NULL
"228","14","guest",NULL
"229","1",NULL,NULL
"229","2",NULL,NULL
"229","3",NULL,NULL
"229","13",NULL,NULL
"230","1",NULL,NULL
"230","2",NULL,NULL
"230","3",NULL,NULL
"230","5",NULL,NULL
"231","1",NULL,NULL
"231","2",NULL,NULL
"231","3",NULL,NULL
"232","2",NULL,NULL
"232","3",NULL,NULL
"233","1",NULL,NULL
"233","2",NULL,NULL
"233","3",NULL,NULL
"234","1",NULL,NULL
"234","2",NULL,NULL
"234","3",NULL,NULL
"234","5",NULL,NULL
"235","24",NULL,NULL
"236","1",NULL,NULL
"236","2",NULL,NULL
"236","3",NULL,NULL
"236","5",NULL,NULL
"237","1",NULL,NULL
"237","2",NULL,NULL
"237","3",NULL,NULL
"237","5",NULL,NULL
"238","1",NULL,NULL
"238","2",NULL,NULL
"238","3",NULL,NULL
"238","14",NULL,NULL
"239","1",NULL,NULL
"239","2",NULL,NULL
"239","3",NULL,NULL
"239","5",NULL,NULL
"240","1",NULL,NULL
"240","2",NULL,NULL
"240","8","guest",NULL
"240","34","guest",NULL
"241","1",NULL,NULL
"241","2",NULL,NULL
"241","3",NULL,NULL
"241","5",NULL,NULL
"242","2",NULL,NULL
"242","3",NULL,NULL
"242","13",NULL,NULL
"242","27",NULL,NULL
"243","1",NULL,NULL
"243","2",NULL,NULL
"243","3",NULL,NULL
"243","8","guest",NULL
"244","1",NULL,NULL
"244","2",NULL,NULL
"244","3",NULL,NULL
"244","14","guest",NULL
"245","1",NULL,NULL
"245","2",NULL,NULL
"245","3",NULL,NULL
"245","5",NULL,NULL
"245","107","guest",NULL
"246","1",NULL,NULL
"246","2",NULL,NULL
"246","3",NULL,NULL
"246","14","guest",NULL
"247","1",NULL,NULL
"247","2",NULL,NULL
"247","3",NULL,NULL
"247","5",NULL,NULL
"248","1",NULL,NULL
"248","2",NULL,NULL
"248","3",NULL,NULL
"248","5",NULL,NULL
"249","1",NULL,NULL
"249","2",NULL,NULL
"249","3",NULL,NULL
"249","5",NULL,NULL
"250","1",NULL,NULL
"250","2",NULL,NULL
"250","3",NULL,NULL
"250","17","guest",NULL
"251","1",NULL,NULL
"251","2",NULL,NULL
"251","3",NULL,NULL
"252","2",NULL,NULL
"252","3",NULL,NULL
"252","9","guest",NULL
"254","1",NULL,NULL
"254","2",NULL,NULL
"254","3",NULL,NULL
"255","1",NULL,NULL
"255","2",NULL,NULL
"255","3",NULL,NULL
"255","5",NULL,NULL
"258","1",NULL,NULL
"258","33","guest",NULL
"259","9","guest",NULL
"260","1",NULL,NULL
"260","2",NULL,NULL
"260","3",NULL,NULL
"260","5",NULL,NULL
"261","13","guest",NULL
"262","1",NULL,NULL
"262","2",NULL,NULL
"262","3",NULL,NULL
"262","5",NULL,NULL
"262","63","guest",NULL
"263","1",NULL,NULL
"263","2",NULL,NULL
"263","3",NULL,NULL
"263","5",NULL,NULL
"266","1",NULL,NULL
"266","2",NULL,NULL
"266","3",NULL,NULL
"266","5",NULL,NULL
"266","58","guest",NULL
"268","1",NULL,NULL
"268","2",NULL,NULL
"268","3",NULL,NULL
"269","1",NULL,NULL
"269","2",NULL,NULL
"269","3",NULL,NULL
"269","5",NULL,NULL
"271","1",NULL,NULL
"271","30","guest",NULL
"271","32","guest",NULL
"271","38","guest",NULL
"271","98","guest",NULL
"272","1",NULL,NULL
"272","40","guest",NULL
"272","69","host",NULL
"274","1",NULL,NULL
"274","2",NULL,NULL
"274","3",NULL,NULL
"274","5",NULL,NULL
"275","1",NULL,NULL
"275","2",NULL,NULL
"275","5",NULL,NULL
"275","9","guest",NULL
"276","1",NULL,NULL
"276","77",NULL,NULL
"277","1",NULL,NULL
"277","2",NULL,NULL
"277","5",NULL,NULL
"277","8",NULL,NULL
"279","8","guest",NULL
"280","1",NULL,NULL
"280","2",NULL,NULL
"280","41","guest",NULL
"280","79","guest",NULL
"282","2",NULL,NULL
"282","14",NULL,NULL
"283","1",NULL,NULL
"283","2",NULL,NULL
"283","5",NULL,NULL
"285","1",NULL,NULL
"285","2",NULL,NULL
"286","1",NULL,NULL
"286","2",NULL,NULL
"286","5",NULL,NULL
"287","1",NULL,NULL
"287","2",NULL,NULL
"287","3","guest",NULL
"287","5","guest",NULL
"287","10","guest",NULL
"287","24","guest",NULL
"287","32","guest",NULL
"287","34","guest",NULL
"287","41","guest",NULL
"287","60","guest",NULL
"287","65","guest",NULL
"288","1",NULL,NULL
"288","2",NULL,NULL
"288","3",NULL,NULL
"288","5",NULL,NULL
"290","2",NULL,NULL
"290","3",NULL,NULL
"290","5",NULL,NULL
"291","1",NULL,NULL
"291","2",NULL,NULL
"291","3",NULL,NULL
"291","5",NULL,NULL
"291","10",NULL,NULL
"292","29","guest",NULL
"293","1",NULL,NULL
"293","2",NULL,NULL
"294","1",NULL,NULL
"294","2",NULL,NULL
"294","3",NULL,NULL
"294","5",NULL,NULL
"294","8","guest",NULL
"295","2",NULL,NULL
"295","3",NULL,NULL
"295","10",NULL,NULL
"296","1",NULL,NULL
"296","5",NULL,NULL
"297","1",NULL,NULL
"297","2",NULL,NULL
"297","3",NULL,NULL
"297","5",NULL,NULL
"299","1",NULL,NULL
"299","2",NULL,NULL
"299","5",NULL,NULL
"300","1",NULL,NULL
"300","2",NULL,NULL
"300","3",NULL,NULL
"300","9","guest",NULL
"302","1",NULL,NULL
"302","2",NULL,NULL
"302","3",NULL,NULL
"302","5",NULL,NULL
